"species","pop","pi","category","class","nsamples"
"AKY","AUS",0.00424523516264998,"Generalist","Generalist",18
"AKY","NCD",0.00449842739813445,"Generalist","Generalist",5
"CRP","PNG",0.00147308154258286,"Generalist","Generalist",10
"CRP","SOI",0.00141173682166323,"Generalist","Generalist",9
"CRP","FIJ",0.0019970351966611,"Generalist","Generalist",4
"CLK","MDV",0.0022332163397952,"Generalist","Generalist",10
"CLK","THA",0.00241439727471694,"Generalist","Generalist",18
"CLK","IDN",0.0042821808633593,"Generalist","Generalist",38
"CLK","PHI",0.00424833722544466,"Generalist","Generalist",10
"CLK","TAI",0.00405436735648371,"Generalist","Generalist",9
"CLK","PNG",0.00211876794692497,"Generalist","Generalist",48
"CLK","SOI",0.00210426202842445,"Generalist","Generalist",9
"CLK","NCD",0.00198487270603722,"Generalist","Generalist",8
"LAT","MDG",0.00326814542313725,"Generalist","Generalist",7
"AKA","KNY",0.00174241596951249,"RM specialist","Specialist",6
"AKA","MYT",0.00175735550947134,"RM specialist","Specialist",7
"AKA","MDG",0.00174422538834547,"RM specialist","Specialist",19
"AKA","THA",0.00213774924562996,"RM specialist","Specialist",19
"AKA","IDN",0.00213694334460868,"RM specialist","Specialist",6
"PRD","THA",0.00193200732418712,"RM specialist","Specialist",17
"PRD","IDN",0.00215252112230842,"RM specialist","Specialist",6
"PRD","AUS",0.00133255212095515,"RM specialist","Specialist",17
"PRD","NCD",0.00159703485978866,"RM specialist","Specialist",6
"EPH","THA",0.00261332234583624,"EQ specialist","Specialist",7
"MEL","IDN",0.00327433492846574,"EQ specialist","Specialist",3
"MEL","AUS",0.00144366627199375,"EQ specialist","Specialist",13
"MEL","NCD",0.00206659789883144,"EQ specialist","Specialist",10
"POL","THA",0.00127057978880668,"SD specialist","Specialist",11
"POL","IDN",0.00272050874903725,"SD specialist","Specialist",12
"SAN","IDN",0.00128583748828534,"SD specialist","Specialist",7
"SAN","PNG",0.00140256674080697,"SD specialist","Specialist",10
"SAN","SOI",0.000723412200267687,"SD specialist","Specialist",8
"SAN","AUS",0.00128208456467755,"SD specialist","Specialist",4
